price_lkr,brand,model,year,mileage_km,fuel_type,engine_capacity_cc,transmission
6450000.0,Mahindra,Kuv 100,2024,48000.0,Diesel,1200.0,Automatic
15600000.0,Mercedes Benz,E200,2010,55000.0,Petrol,1990.0,Automatic
26500000.0,Bmw,218I,2024,5000.0,Petrol,1500.0,Automatic
19800000.0,Honda,Vezel,2025,0.0,Hybrid,1500.0,Automatic
8475000.0,Toyota,Roomy,2022,53000.0,Petrol,1000.0,Automatic
7250000.0,Suzuki,Wagon R,2023,11000.0,Petrol,660.0,Automatic
8900000.0,Toyota,Allion,2008,166000.0,Petrol,1500.0,Automatic
15400000.0,Volkswagen,T-Cross,2024,7900.0,Petrol,1000.0,Automatic
13800000.0,Mitsubishi,Outlander,2016,154000.0,Petrol,2400.0,Tiptronic
18400000.0,Honda,Vezel,2024,9500.0,Hybrid,1500.0,Automatic
9995000.0,Toyota,Yaris,2024,6000.0,Petrol,1000.0,Automatic
12950000.0,Toyota,Raize,2025,4800.0,Hybrid,1200.0,Automatic
13900000.0,Volkswagen,Polo,2024,14000.0,Petrol,1000.0,Automatic
8750000.0,Suzuki,Swift,2018,66000.0,Petrol,1000.0,Automatic
13750000.0,Toyota,Premio,2016,95000.0,Petrol,1500.0,Automatic
16900000.0,Bmw,523I,2010,100000.0,Petrol,2500.0,Automatic
1344750.0,Honda,City,2023,26500.0,Petrol,1000.0,Automatic
5950000.0,Nissan,Navara,2007,260000.0,Diesel,2500.0,Manual
7225000.0,Toyota,Aqua,2014,103000.0,Hybrid,1500.0,Automatic
15500000.0,Peugeot,5008,2018,68500.0,Petrol,1200.0,Automatic
28800000.0,Toyota,Land Cruiser Prado,2011,188000.0,Diesel,3000.0,Automatic
6990000.0,Daihatsu,Mira,2024,19000.0,Petrol,660.0,Automatic
13200000.0,Toyota,Yaris,2023,28880.0,Hybrid,1500.0,Automatic
16975000.0,Mitsubishi,Outlander,2016,98000.0,Hybrid,2000.0,Automatic
19950000.0,Honda,Vezel,2025,0.0,Hybrid,1500.0,Automatic
19450000.0,Honda,Vezel,2026,10.0,Hybrid,1500.0,Automatic
10990000.0,Suzuki,Fronx,2025,0.0,Hybrid,1000.0,Automatic
24500000.0,Bmw,335I,2014,110000.0,Petrol,3000.0,Automatic
9250000.0,Mg,Zs,2019,48000.0,Petrol,1000.0,Automatic
6390000.0,Daihatsu,Mira,2023,4000.0,Petrol,660.0,Automatic
29000000.0,Toyota,Hilux,2025,0.0,Diesel,2800.0,Tiptronic
19250000.0,Honda,Vezel,2024,5000.0,Hybrid,1500.0,Automatic
6700000.0,Toyota,Aqua,2012,160000.0,Hybrid,1500.0,Automatic
13195000.0,Toyota,Axio,2017,109000.0,Hybrid,1500.0,Automatic
37900000.0,Mercedes Benz,C200,2023,26000.0,Petrol,1500.0,Automatic
3450000.0,Micro,Panda,2017,34600.0,Petrol,1000.0,Manual
36500000.0,Mercedes Benz,Glb,2025,97.0,Petrol,1300.0,Automatic
115000000.0,Bmw,I7,2024,18000.0,Electric,618.96,Automatic
68500000.0,Land Rover,Defender,2024,12000.0,Petrol,2000.0,Automatic
17850000.0,Bmw,520D,2012,140000.0,Diesel,2000.0,Automatic
7600000.0,Toyota,Vitz,2016,62000.0,Petrol,1000.0,Automatic
3875000.0,Perodua,Viva Elite,2010,80700.0,Petrol,1000.0,Manual
10850000.0,Toyota,Axio,2019,92300.0,Hybrid,1500.0,Automatic
7700000.0,Suzuki,Wagon R Fx,2025,1600.0,Petrol,660.0,Automatic
31800000.0,Honda,Crv,2025,0.0,Petrol,1500.0,Automatic
8875000.0,Honda,Vezel,2014,146000.0,Hybrid,1400.0,Automatic
9075000.0,Honda,Vezel,2015,135100.0,Hybrid,1500.0,Automatic
17000000.0,Toyota,Premio,2019,96200.0,Petrol,1499.0,Automatic
9500000.0,Toyota,Axio,2014,132000.0,Hybrid,1499.0,Automatic
6450000.0,Daihatsu,Mira,2025,1300.0,Petrol,660.0,Automatic
15000000.0,Mg,5 Long Range,2023,26000.0,Electric,618.96,Automatic
9800000.0,Nissan,Magnite,2025,30.0,Petrol,1000.0,Automatic
14000000.0,Subaru,Forester,2014,101900.0,Petrol,2000.0,Automatic
11500000.0,Audi,Q2,2017,90000.0,Petrol,1000.0,Automatic
3990000.0,Suzuki,Liana,2006,155000.0,Petrol,1300.0,Manual
7250000.0,Toyota,Axio,2009,155000.0,Petrol,1500.0,Automatic
7300000.0,Suzuki,Wagon R Fx,2024,5185.0,Petrol,660.0,Automatic
9950000.0,Toyota,Yaris,2023,7754.0,Petrol,1000.0,Automatic
11700000.0,Land Rover,Freelander,2013,100000.0,Diesel,2200.0,Tiptronic
10450000.0,Toyota,Yaris,2025,2956.0,Petrol,1000.0,Automatic
19000000.0,Bmw,X5,2015,140000.0,Diesel,3000.0,Automatic
3475000.0,Suzuki,Alto,2005,165000.0,Petrol,658.0,Automatic
8750000.0,Toyota,Yaris,2022,31000.0,Petrol,990.0,Automatic
1344750.0,Nissan,Sunny,1975,219000.0,Petrol,1300.0,Manual
8075000.0,Nissan,Dayz,2023,18000.0,Hybrid,660.0,Automatic
12500000.0,Mitsubishi,Outlander,2014,170000.0,Hybrid,2000.0,Automatic
7950000.0,Suzuki,Wagon R Fx,2024,1900.0,Hybrid,660.0,Automatic
7985000.0,Nissan,Dayz,2023,8000.0,Hybrid,660.0,Automatic
35500000.0,Mercedes Benz,C180,2023,17000.0,Petrol,1500.0,Automatic
65000000.0,Land Rover,Defender,2023,17000.0,Petrol,2000.0,Automatic
3775000.0,Suzuki,Alto,2015,111340.0,Petrol,800.0,Manual
11600000.0,Toyota,Prius,2015,110000.0,Hybrid,1800.0,Automatic
8975000.0,Honda,Vezel,2014,112000.0,Hybrid,1500.0,Automatic
6950000.0,Mitsubishi,Ek Wagon,2024,12000.0,Petrol,650.0,Automatic
54500000.0,Toyota,Land Cruiser Prado,2023,16526.0,Petrol,2700.0,Automatic
15850000.0,Toyota,Corolla,2023,3166.0,Petrol,1500.0,Automatic
24000000.0,Toyota,Hilux,2023,9000.0,Diesel,2800.0,Automatic
11550000.0,Toyota,Raize,2022,24672.0,Petrol,1000.0,Automatic
37450000.0,Toyota,Harrier,2024,3000.0,Petrol,2000.0,Automatic
8600000.0,Suzuki,Wagon R Zx,2025,107.0,Hybrid,660.0,Automatic
21500000.0,Bmw,318I,2018,23000.0,Petrol,1500.0,Automatic
9100000.0,Honda,Vezel,2014,145411.0,Petrol,1490.0,Automatic
19500000.0,Honda,Crv,2020,75000.0,Petrol,1500.0,Automatic
12500000.0,Kia,Other Model,2025,9750.0,Petrol,1000.0,Automatic
3950000.0,Nissan,Sunny,2002,269018.250000001,Petrol,1490.0,Automatic
20750000.0,Mercedes Benz,C160,2018,76000.0,Petrol,1600.0,Automatic
17850000.0,Honda,Vezel,2025,512.0,Hybrid,1500.0,Automatic
3675000.0,Suzuki,Alto,2015,87000.0,Petrol,800.0,Manual
10500000.0,Toyota,Prius,2015,167000.0,Hybrid,1800.0,Automatic
3990000.0,Toyota,Sprinter,1999,179000.0,Petrol,1300.0,Automatic
24700000.0,Toyota,Land Cruiser Prado,2012,200000.0,Diesel,2800.0,Manual
23900000.0,Mercedes Benz,Cla 200,2019,40000.0,Petrol,1322.0,Automatic
123000000.0,Bmw,740I,2024,0.0,Petrol,3000.0,Tiptronic
20000000.0,Toyota,Rush,2025,0.0,Petrol,1500.0,Automatic
5300000.0,Toyota,Vitz,2007,121000.0,Petrol,1000.0,Automatic
24000000.0,Mg,Hs Hybrid+,2025,0.0,Petrol,1490.0,Automatic
5800000.0,Mitsubishi,L200,1992,253758.0,Diesel,2470.0,Manual
13500000.0,Toyota,Allion,2016,108000.0,Petrol,1500.0,Automatic
65000000.0,Jeep,Grand Cherokee,2025,0.0,Petrol,3604.0,Automatic
7400000.0,Suzuki,Wagon R Fx,2024,8000.0,Petrol,660.0,Automatic
2100000.0,Kia,Spectra,2001,90000.0,Petrol,1600.0,Manual
17575000.0,Honda,Vezel,2026,0.0,Hybrid,1490.0,Automatic
9400000.0,Toyota,Yaris,2023,22000.0,Petrol,1000.0,Automatic
4760000.0,Toyota,Passo,2007,162000.0,Petrol,990.0,Automatic
6800000.0,Mitsubishi,Ek Wagon,2025,5000.0,Petrol,660.0,Automatic
7900000.0,Subaru,Xv,2014,149000.0,Petrol,2000.0,Automatic
12500000.0,Ford,Focus,2018,93000.0,Petrol,1000.0,Tiptronic
76000000.0,Toyota,Land Cruiser Prado,2025,0.0,Diesel,2800.0,Automatic
4550000.0,Suzuki,Alto,2016,105000.0,Petrol,998.0,Automatic
27500000.0,Mercedes Benz,Other Model,2024,2000.0,Hybrid,1300.0,Automatic
15975000.0,Toyota,Yaris Ativ,2025,0.0,Petrol,1200.0,Tiptronic
14650000.0,Audi,A3,2018,34027.0,Petrol,1000.0,Tiptronic
58950000.0,Toyota,Land Cruiser Prado,2024,4000.0,Petrol,2700.0,Automatic
9350000.0,Toyota,Axio,2014,180000.0,Hybrid,1499.0,Automatic
13900000.0,Toyota,Chr,2018,61105.0,Petrol,1500.0,Automatic
12250000.0,Honda,Crv,2013,169000.0,Petrol,1990.0,Automatic
31700000.0,Honda,Crv,2025,0.0,Petrol,1500.0,Tiptronic
85000000.0,Land Rover,Range Rover,2019,78000.0,Petrol,2000.0,Automatic
6075000.0,Nissan,Cefiro,2007,153000.0,Petrol,2400.0,Automatic
44500000.0,Bmw,740Le,2016,33500.0,Petrol,2000.0,Automatic
18900000.0,Honda,Vezel,2026,0.0,Hybrid,1500.0,Automatic
8800000.0,Toyota,Premio,2008,165000.0,Petrol,1500.0,Automatic
8800000.0,Honda,Vezel,2013,130000.0,Hybrid,1499.0,Automatic
20200000.0,Honda,Vezel,2025,0.0,Hybrid,1500.0,Automatic
3690000.0,Suzuki,Estilo,2011,141000.0,Petrol,998.0,Manual
20000000.0,Toyota,Land Cruiser Sahara,2005,269018.250000001,Diesel,4200.0,Manual
6990000.0,Toyota,Vitz,2016,105400.0,Petrol,1000.0,Automatic
23500000.0,Bmw,X5,2016,120000.0,Petrol,2000.0,Automatic
11990000.0,Toyota,Raize,2025,0.0,Petrol,1000.0,Automatic
17800000.0,Bmw,318I,2016,64000.0,Petrol,1500.0,Automatic
3940000.0,Suzuki,Alto,2008,139500.0,Petrol,650.0,Automatic
8150000.0,Daihatsu,Taft,2024,0.0,Petrol,660.0,Automatic
36500000.0,Audi,Q7,2016,71000.0,Petrol,3000.0,Automatic
7500000.0,Toyota,Prius,2011,211000.0,Petrol,1500.0,Automatic
24950000.0,Bmw,218I,2023,18500.0,Petrol,1500.0,Automatic
7150000.0,Toyota,Vitz,2015,141000.0,Petrol,990.0,Automatic
7175000.0,Mitsubishi,Ek Wagon,2023,9300.0,Petrol,660.0,Automatic
4975000.0,Toyota,Corolla,2004,220000.0,Petrol,1300.0,Manual
13000000.0,Peugeot,3008,2018,109500.0,Petrol,1200.0,Tiptronic
31900000.0,Mercedes Benz,C180,2023,14800.0,Petrol,1500.0,Automatic
11000000.0,Toyota,Yaris Ativ,2019,210000.0,Petrol,1200.0,Automatic
2650000.0,Toyota,Other Model,1984,200000.0,Diesel,2400.0,Manual
11800000.0,Ford,Kuga,2015,134000.0,Petrol,1500.0,Automatic
6850000.0,Toyota,Vitz,2013,98200.0,Petrol,990.0,Automatic
14200000.0,Toyota,Raize,2023,7800.0,Petrol,1200.0,Automatic
9200000.0,Toyota,Roomy,2023,12000.0,Petrol,1000.0,Automatic
8000000.0,Toyota,Aqua,2015,125000.0,Hybrid,1500.0,Automatic
23500000.0,Ford,Raptor Ranger,2017,130000.0,Diesel,3200.0,Automatic
11190000.0,Suzuki,Fronx,2026,0.0,Hybrid,1000.0,Automatic
16500000.0,Toyota,Premio,2016,43324.0,Petrol,1500.0,Automatic
47000000.0,Toyota,Harrier,2025,0.0,Hybrid,2500.0,Automatic
51900000.0,Toyota,Land Cruiser Prado,2023,15000.0,Petrol,2700.0,Automatic
12090000.0,Toyota,Taisor,2025,0.0,Petrol,1000.0,Automatic
18900000.0,Audi,A3,2023,7100.0,Petrol,1000.0,Automatic
51900000.0,Toyota,Land Cruiser Prado,2023,14700.0,Petrol,2700.0,Automatic
12250000.0,Kia,Other Model,2025,0.0,Petrol,1000.0,Automatic
16900000.0,Mazda,3,2023,18000.0,Petrol,1500.0,Automatic
11690000.0,Toyota,Taisor,2025,0.0,Petrol,1000.0,Automatic
5395000.0,Mitsubishi,Mirage,2012,94521.0,Petrol,1200.0,Automatic
13000000.0,Toyota,Raize,2024,15200.0,Hybrid,1200.0,Automatic
12500000.0,Hyundai,Venue,2025,0.0,Petrol,1000.0,Automatic
19090000.0,Honda,Vezel,2025,100.0,Hybrid,1500.0,Automatic
29600000.0,Ford,Raptor Ranger,2024,0.0,Diesel,3000.0,Tiptronic
5395000.0,Nissan,Navara,2007,158508.0,Diesel,2500.0,Manual
13500000.0,Peugeot,508,2015,108000.0,Diesel,2000.0,Automatic
8990000.0,Nissan,Teana,2010,180000.0,Petrol,2500.0,Automatic
2975000.0,Suzuki,Maruti,2005,84255.0,Petrol,1061.0,Manual
18000000.0,Toyota,Yaris,2025,0.0,Hybrid,1499.0,Automatic
16200000.0,Toyota,Yaris Cross,2025,34.0,Hybrid,1500.0,Automatic
2950000.0,Toyota,Corolla,1997,269018.250000001,Diesel,2000.0,Automatic
63500000.0,Toyota,Alphard,2025,0.0,Petrol,2500.0,Automatic
11200000.0,Bmw,320D,2011,186496.0,Diesel,2000.0,Automatic
7630000.0,Toyota,Vitz,2018,101000.0,Petrol,990.0,Automatic
20400000.0,Honda,Vezel,2025,0.0,Hybrid,1500.0,Automatic
8950000.0,Honda,Grace,2015,196500.0,Hybrid,1500.0,Automatic
21000000.0,Toyota,Harrier,2014,103000.0,Petrol,2000.0,Automatic
21000000.0,Honda,Vezel,2025,0.0,Hybrid,1500.0,Automatic
126570000.00000063,Land Rover,Range Rover Phev,2025,0.0,Hybrid,3000.0,Automatic
2500000.0,Kia,Clarus,2000,120000.0,Diesel,1970.0,Automatic
4150000.0,Hyundai,Eon,2016,73000.0,Petrol,800.0,Manual
8900000.0,Ford,Focus,2015,103000.0,Petrol,1600.0,Automatic
3650000.0,Zotye,Z100,2021,18000.0,Petrol,1000.0,Manual
26800000.0,Toyota,Hilux,2025,0.0,Diesel,2800.0,Automatic
11800000.0,Kia,Other Model,2025,0.0,Petrol,1000.0,Automatic
8100000.0,Toyota,Axio,2013,104463.0,Hybrid,1490.0,Automatic
7250000.0,Suzuki,Wagon R Fx,2024,8500.0,Petrol,660.0,Automatic
19850000.0,Honda,Vezel,2025,0.0,Hybrid,1500.0,Automatic
25500000.0,Mercedes Benz,C200,2019,84000.0,Petrol,1500.0,Automatic
12000000.0,Toyota,Taisor,2025,0.0,Petrol,1000.0,Automatic
7350000.0,Suzuki,Wagon R Fx,2024,5500.0,Petrol,660.0,Automatic
16500000.0,Jaguar,Xj,2003,105000.0,Petrol,3000.0,Automatic
18750000.0,Honda,Vezel,2024,15000.0,Hybrid,1496.0,Automatic
26000000.0,Bmw,X2,2019,45000.0,Petrol,1500.0,Tiptronic
17500000.0,Honda,Vezel,2023,10000.0,Hybrid,1500.0,Automatic
9050000.0,Suzuki,Wagon R,2025,0.0,Hybrid,660.0,Automatic
6300000.0,Suzuki,Spacia,2016,72000.0,Hybrid,650.0,Automatic
2475000.0,Toyota,Corsa,1993,251285.0,Diesel,1500.0,Manual
17500000.0,Porsche,Cayenne,2013,93000.0,Hybrid,3000.0,Tiptronic
21000000.0,Toyota,Land Cruiser Sahara,2000,147250.0,Petrol,4200.0,Automatic
8500000.0,Toyota,Vitz,2018,47000.0,Petrol,990.0,Automatic
20300000.0,Honda,Vezel,2025,0.0,Hybrid,1500.0,Automatic
29500000.0,Land Rover,Range Rover Velar,2018,127000.0,Diesel,1990.0,Automatic
