url,title_text,price_lkr,brand,model,year,mileage_km,fuel_type,engine_capacity_cc,transmission,location
https://ikman.lk/en/ad/toyota-premio-g-superior-2017-for-sale-colombo-831,Toyota Premio G SUPERIOR 2017 for Sale in Mount Lavinia | ikman,13800000,Toyota,Premio,2017,108000,Petrol,1500,Automatic,Colombo
https://ikman.lk/en/ad/toyota-pixis-ledlight-powermirror-2024-for-sale-colombo,Toyota Pixis LEDLight PowerMirror 2024 for Sale in Rajagiriya | ikman,6700000,Toyota,Pixis,2024,6000,Petrol,660,Automatic,
https://ikman.lk/en/ad/honda-vezel-z-premium-2025-for-sale-colombo-318,Honda Vezel Z Premium 2025 for Sale in Boralesgamuwa | ikman,19450000,Honda,Vezel,2025,230,Petrol,1490,Automatic,Colombo
https://ikman.lk/en/ad/maruti-suzuki-800-2011-for-sale-kurunegala-4,Maruti Suzuki 800 2011 for Sale in Ibbagamuwa | ikman,2635000,Maruti Suzuki,800,2011,173000,Petrol,800,Manual,Kurunegala
https://ikman.lk/en/ad/toyota-yaris-cross-2023-for-sale-colombo-27,Toyota Yaris Cross 2023 for Sale in Colombo 5 | ikman,15565000,Toyota,Yaris Cross,2023,14200,Hybrid,1500,Automatic,Colombo
https://ikman.lk/en/ad/suzuki-wagon-r-fx-hybrid-2025-for-sale-colombo-11,Suzuki Wagon R FX Hybrid 2025 for Sale in Kottawa | ikman,8250000,Suzuki,Wagon R FX,2025,5,Hybrid,660,Automatic,Colombo
https://ikman.lk/en/ad/honda-fit-hybrid-gp5-s-grade-2017-for-sale-colombo-10,Honda Fit Hybrid GP5 S Grade 2017 for Sale in Pannipitiya | ikman,8775000,Honda,Fit,2017,69600,Hybrid,1500,Automatic,Colombo
https://ikman.lk/en/ad/toyota-premio-2013-for-sale-colombo-1467,Toyota Premio G Superior 2013 for Sale in Athurugiriya | ikman,10799999,Toyota,Premio,2013,121000,Petrol,1500,Automatic,Colombo
https://ikman.lk/en/ad/audi-a4-2011-for-sale-ratnapura,Audi A4 2011 for Sale in Balangoda | ikman,10200000,Audi,A4,2011,94188,Petrol,1800,Automatic,
https://ikman.lk/en/ad/honda-city-2000-for-sale-kandy,Honda City 2000 for Sale in Kandy City | ikman,3375000,Honda,City,2000,200000,Petrol,1500,Automatic,
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-100-series-1hz-2003-for-sale-gampaha-2,Toyota Land Cruiser Sahara 100 Series 1HZ 2003 for Sale in Ja-Ela | ikman,21350000,Toyota,Land Cruiser Sahara,2003,74500,Diesel,4200,Manual,Gampaha
https://ikman.lk/en/ad/toyota-hilux-28l-4wd-double-cab-2025-for-sale-gampaha,Toyota Hilux 2.8L 4WD Double Cab 2025 for Sale in Kiribathgoda | ikman,21500000,Toyota,Hilux,2025,33,Diesel,2800,Automatic,
https://ikman.lk/en/ad/toyota-premio-g-superior-2011-for-sale-colombo-410,Toyota Premio G superior 2011 for Sale in Kottawa | ikman,9875000,Toyota,Premio,2011,150000,Petrol,1500,Automatic,Colombo
https://ikman.lk/en/ad/toyota-yaris-2023-for-sale-gampaha-27,Toyota Yaris 2023 for Sale in Veyangoda | ikman,8750000,Toyota,Yaris,2023,51452,Petrol,990,Automatic,Gampaha
https://ikman.lk/en/ad/toyota-hilux-travo-overland-plus-2026-for-sale-puttalam-1,Toyota Hilux Travo Overland Plus 2026 for Sale in Wennappuwa | ikman,28500000,Toyota,Hilux,2026,0,Diesel,2755,Automatic,Puttalam
https://ikman.lk/en/ad/bmw-318i-luxury-line-2018-for-sale-kurunegala,BMW 318i 2018 for Sale in Polgahawela | ikman,20700000,BMW,318i,2018,115000,Petrol,1500,Automatic,
https://ikman.lk/en/ad/toyota-aqua-s-grade-2014-for-sale-gampaha-400,Toyota Aqua S Grade 2014 for Sale in Kelaniya | ikman,7150000,Toyota,Aqua,2014,180000,Hybrid,1500,Automatic,Gampaha
https://ikman.lk/en/ad/mercedes-benz-c350-2016-for-sale-galle-1,Mercedes Benz C350 2016 for Sale in Galle City | ikman,22000000,Mercedes Benz,C350,2016,75000,Hybrid,2000,Tiptronic,Galle
https://ikman.lk/en/ad/toyota-corolla-121-g-2006-for-sale-colombo-10,Toyota Corolla 121 G 2006 for Sale in Pannipitiya | ikman,6450000,Toyota,Corolla,2006,137250,Petrol,1500,Automatic,Colombo
https://ikman.lk/en/ad/mercedes-benz-e180-amg-2019-for-sale-gampaha,Mercedes Benz E180 AMG 2019 for Sale in Biyagama | ikman,30000000,Mercedes Benz,E180,2019,27000,Petrol,1497,Tiptronic,
https://ikman.lk/en/ad/suzuki-spacia-custom-xs-hybrid-2023-for-sale-colombo,Suzuki Spacia Custom XS Hybrid 2023 for Sale in Rajagiriya | ikman,8450000,Suzuki,Spacia,2023,20000,Hybrid,660,Automatic,
https://ikman.lk/en/ad/bmw-i8-m-sport-2018-for-sale-gampaha,BMW i8 M-Sport 2018 for Sale in Ja-Ela | ikman,34500000,BMW,i8,2018,30000,Hybrid,1500,Automatic,
https://ikman.lk/en/ad/suzuki-alto-2015-for-sale-matara-1229,Suzuki Alto 2015 for Sale in Matara City | ikman,3990000,Suzuki,Alto,2015,59774,Petrol,800,Manual,Matara
https://ikman.lk/en/ad/toyota-yaris-ativ-premium-luxury-black-2025-for-sale-colombo-2,Toyota Yaris Ativ PREMIUM LUXURY BLACK 2025 for Sale in Kohuwala | ikman,16200000,Toyota,Yaris Ativ,2025,0,Petrol,1200,Tiptronic,Colombo
https://ikman.lk/en/ad/toyota-vitz-safety-edition-03-2019-for-sale-puttalam,Toyota Vitz Safety Edition 03 2019 for Sale in Nattandiya | ikman,8250000,Toyota,Vitz,2019,95000,Petrol,1000,Automatic,
https://ikman.lk/en/ad/honda-vezel-orange-package-2015-for-sale-puttalam,Honda Vezel Orange Package 2015 for Sale in Nattandiya | ikman,10700000,Honda,Vezel,2015,45000,Hybrid,1500,Automatic,
https://ikman.lk/en/ad/mercedes-benz-s350-lwb-2011-for-sale-colombo-7,Mercedes Benz S350 LWB 2011 for Sale in Kaduwela | ikman,19800000,Mercedes Benz,S350,2011,166000,Petrol,3500,Tiptronic,Colombo
https://ikman.lk/en/ad/toyota-axio-141-2007-for-sale-gampaha-3,Toyota Axio 141 2007 for Sale in Kadawatha | ikman,7300000,Toyota,Axio,2007,183000,Petrol,1500,Automatic,Gampaha
https://ikman.lk/en/ad/suzuki-hustler-j-style-turbo-highst-2016-for-sale-colombo,Suzuki Hustler J STYLE TURBO HIGHST 2016 for Sale in Kohuwala | ikman,5975000,Suzuki,Hustler,2016,86500,Hybrid,660,Automatic,
https://ikman.lk/en/ad/audi-a3-sedan-tfsi-2019-for-sale-colombo,Audi A3 Sedan TFSI 2019 for Sale in Kottawa | ikman,12700000,Audi,A3,2019,117000,Petrol,1000,Automatic,
https://ikman.lk/en/ad/toyota-vitz-2018-for-sale-colombo-1339,Toyota Vitz 2018 for Sale in Athurugiriya | ikman,8400000,Toyota,Vitz,2018,61000,Petrol,990,Automatic,Colombo
https://ikman.lk/en/ad/toyota-land-cruiser-prado-lc250-2024-for-sale-colombo-23,Toyota Land Cruiser Prado LC250 2024 for Sale in Maharagama | ikman,54900000,Toyota,Land Cruiser Prado,2024,8700,Petrol,2700,Automatic,Colombo
https://ikman.lk/en/ad/suzuki-maruti-2004-for-sale-kalutara-3,Suzuki Maruti 2004 for Sale in Ingiriya | ikman,1765000,Suzuki,Maruti,2004,225000,Petrol,796,Manual,Kalutara
